experiment,value,mean_uplift,uplift_std,uplift_ci_low,uplift_ci_high,brier_score,log_loss,map_accuracy
beta,0.0,0.0,0.0,0.0,0.0,0.25,0.6931471805599454,0.33603750000000004
beta,0.05,1.9015091531693844,9.992640456447488,-0.2882247336930639,4.0912430400318325,0.2499473232042478,0.6930418093404049,0.41137499999999994
beta,0.1,4.984754579748751,12.106884057062405,2.331716636513353,7.6377925229841495,0.2490796025229038,0.6913042389276234,0.47666249999999993
beta,0.2,11.548723062842638,17.25593396161853,7.767349810206863,15.330096315478414,0.2413089936115252,0.6755866298272065,0.5811875000000001
beta,0.3,18.727720382643092,17.80197501940432,14.826690607483254,22.62875015780293,0.2206498373035311,0.6324468262442794,0.6687249999999999
beta,0.4,23.356996424797394,17.477754158274138,19.5270146783882,27.18697817120659,0.18578464638279216,0.5543602975759775,0.7513
mu,0.0,0.0,0.0,0.0,0.0,0.2413089936115252,0.6755866298272065,0.5811875000000001
mu,0.04,1.727364095006704,7.562171362369159,0.07023023107825987,3.384497958935148,0.2413089936115252,0.6755866298272065,0.5811875000000001
mu,0.08,5.416686319906172,11.46187701532677,2.9049917766168925,7.928380863195452,0.2413089936115252,0.6755866298272065,0.5811875000000001
mu,0.12,11.548723062842638,17.25593396161853,7.767349810206863,15.330096315478414,0.2413089936115252,0.6755866298272065,0.5811875000000001
mu,0.2,31.88423492432359,36.668731935181945,23.848844753256735,39.919625095390444,0.2413089936115252,0.6755866298272065,0.5811875000000001
persistence,0.65,-0.23395601599377186,5.665983513560239,-1.475569396973724,1.0076573649861802,0.24974340948862972,0.6926337457769212,0.7746625
persistence,0.75,0.6326983474734262,6.659916362271526,-0.8267201721557937,2.0921168671026464,0.24936988503585827,0.6918853626686665,0.7073124999999999
persistence,0.85,0.802192608912349,9.695314573786954,-1.3223868712103897,2.9267720890350875,0.24794668915796408,0.6890283491653622,0.59765
persistence,0.94,11.548723062842638,17.25593396161853,7.767349810206863,15.330096315478414,0.2413089936115252,0.6755866298272065,0.5811875000000001
persistence,0.98,56.63627217920947,30.07929465960941,50.04485611694443,63.22768824147451,0.22884130866737876,0.6500436992850437,0.8158249999999999
